epsilon,quarter,half,full
4.17316E-06,5.33333E-06,0.000014,0.000028
8.34632E-06,0.000016,0.000029,5.46667E-05
1.66926E-05,2.36667E-05,5.46667E-05,0.000112667
4.17316E-05,6.76667E-05,0.000139667,0.000281333
8.34632E-05,0.000139667,0.000279333,0.000566
8.34632E-05,0.000137667,0.000280333,0.000566
8.34632E-05,0.000137333,0.000278333,0.000564
8.34632E-05,0.000139667,0.000282333,0.000565
8.34632E-05,0.000141,0.000281333,0.000565
8.34632E-05,0.000141667,0.000280333,0.000564
